City,Cloudiness,Country,Date,Max Temp,Wind Speed,Lat,Lng,Humidity
Sao Jose da Coroa Grande,29,BR,1565571131,69.17,2.86,-8.9,-35.15,95
Sisimiut,21,GL,1565570960,48.41,10.29,66.94,-53.67,64
Cape Town,75,ZA,1565571378,55,9.17,-33.93,18.42,87
Hamilton,20,CA,1565571271,78.8,8.05,43.26,-79.87,68
Cidreira,17,BR,1565570899,59.57,14.94,-30.17,-50.22,83
Hilo,1,US,1565571283,84.2,12.75,19.71,-155.08,62
Iquique,75,CL,1565571348,57.2,9.17,-20.22,-70.14,76
Mar del Plata,13,AR,1565571222,33.17,13.44,-46.43,-67.52,53
Hithadhoo,100,MV,1565571220,83.57,13.73,-0.6,73.08,72
Fortuna,20,ES,1565571287,81,1.12,38.18,-1.13,83
Corinto,40,CO,1565571379,77,6.93,3.17,-76.26,65
Ushuaia,75,AR,1565571041,32,20.8,-54.81,-68.31,93
Hermanus,22,ZA,1565571379,51.01,3,-34.42,19.24,97
Tivaouane,20,SN,1565571379,80.6,10.29,14.95,-16.81,83
Cilibia,0,RO,1565571380,71.15,3.42,45.06,27.07,48
Malartic,75,CA,1565571380,64.4,4.7,48.14,-78.13,100
Kupang,90,ID,1565571380,82.4,11.41,-10.16,123.6,37
Dunedin,64,NZ,1565571190,51.01,15.01,-45.87,170.5,63
Kainantu,98,PG,1565571380,59.09,1.92,-6.29,145.87,95
Avarua,35,CK,1565571035,77,6.93,-21.21,-159.78,73
Punta Arenas,0,CL,1565571221,30.2,8.05,-53.16,-70.91,68
Mataura,74,NZ,1565571027,46.99,11.99,-46.19,168.86,71
Bluff,0,AU,1565571164,60.35,2.35,-23.58,149.07,40
Bredasdorp,17,ZA,1565571381,51.8,8.05,-34.53,20.04,76
Suntar,2,RU,1565571381,65.39,4.18,62.16,117.65,60
Ribeira Grande,46,PT,1565571138,70.97,8.01,38.52,-28.7,81
Jamestown,3,AU,1565571250,45.95,1.05,-33.21,138.6,72
Atuona,10,PF,1565571051,79.61,18.57,-9.8,-139.03,79
Kapaa,75,US,1565571225,87.8,6.93,22.08,-159.32,58
Bossier City,1,US,1565571382,96.8,9.17,32.52,-93.73,52
Coihaique,90,CL,1565571060,39.2,4.7,-45.58,-72.07,86
Haapiti,20,PF,1565571197,86,4.7,-17.57,-149.87,66
Geraldton,20,CA,1565571383,69.8,6.93,49.72,-86.95,40
Tiksi,21,RU,1565571160,58.73,3.96,71.64,128.87,60
Faanui,6,PF,1565571281,79.43,14.32,-16.48,-151.75,80
Carnarvon,23,ZA,1565571194,38.75,9.08,-30.97,22.13,88
